Time,IsCompatible,Score,Drop_Position_X,Drop_Position_Y,Drop_Position_Z
32.5,True,1,1.797,0.169,-1.558
39.82,True,2,-0.803,0.023,-1.562
52,True,3,-1.854203,0.086,-1.531
69.52,True,4,-1.928,0,-1.574
90.32,True,5,-1.027,0.377,-1.481
100.34,True,6,-0.933,0.18,-1.56
112.7,False,6,-0.3579999,0.646,1.884
122.08,True,7,-0.497,0.05599999,-1.902
142.68,True,8,0.4009999,0.016,-1.607
150.26,True,9,1.174,0.01199999,-2.028134
160.68,True,10,-1.54,0.453324,-1.33
181.4,True,11,1.869,0.002000004,-1.564
192.02,True,12,-0.753,0.01499999,-1.522
199.86,True,13,-1.903,0.05000001,-1.57
214.42,False,13,1.68,0.09,-1.73
224.56,True,14,0.734,0.044,-1.63
234.06,True,15,-0.6540381,0.1634489,-1.86
245.84,True,16,-0.7900002,0.5,-1.57
254.38,False,16,-0.2919999,0.646,2.224
321.5,True,17,-1.985,0.618,-1.97
330.74,False,17,-2.008,-0.01800001,-1.594
340.48,False,17,-0.2611,0.08599998,2.319
350.54,False,17,-0.41,0.01499999,1.68
355.96,False,17,-0.222,0.09399997,2.44
374.88,False,17,-0.3559999,0.506,2.138
377.1,False,17,0.124,0.01499996,2.078
378.94,False,17,0.393,0.01599997,1.983
384.5,False,17,0.6659999,0.09999999,2.2
384.52,False,17,0.18,0.27,1.838
423.96,False,17,0.402,0.156,1.86
